event_id,time_epoch,magnitude,place,latitude,longitude,depth_km,updated_epoch,alert,status,timestamp,is_mainshock,aftershock_of_event_id,dt_days,dr_km
ci3248203,820474420930,2.61,"30km N of Yucca Valley, California",34.381,-116.453,1.066,1455256733128,,reviewed,1996-01-01 05:33:40.930000+00:00,False,,,
ci3248264,820507992240,3.44,"9km N of Chatsworth, California",34.334,-118.6,14.608,1455329672282,,reviewed,1996-01-01 14:53:12.240000+00:00,False,,,
ci3248302,820563286120,2.76,"36km NE of Lucerne Valley, California",34.641,-116.657,6.47,1455283402575,,reviewed,1996-01-02 06:14:46.120000+00:00,False,,,
ci3248351,820604243370,2.68,"6km N of Yucca Valley, California",34.171,-116.436,4.967,1455247972434,,reviewed,1996-01-02 17:37:23.370000+00:00,False,,,
ci3248466,820715136520,3.37,"15km NNE of Barstow, California",35.023,-116.956,-0.279,1455311546400,,reviewed,1996-01-04 00:25:36.520000+00:00,False,,,
ci3248470,820718179460,2.62,"15km NNE of Barstow, California",35.02,-116.955,-1.039,1455265314047,,reviewed,1996-01-04 01:16:19.460000+00:00,False,,,
ci3248472,820718408520,2.58,"15km NNE of Barstow, California",35.022,-116.964,3.201,1455256742976,,reviewed,1996-01-04 01:20:08.520000+00:00,False,,,
ci3248632,820824875350,2.99,"40km NE of Big Bear City, California",34.485,-116.505,0.098,1455247992906,,reviewed,1996-01-05 06:54:35.350000+00:00,False,,,
ci3248652,820843060130,3.84,"12km E of Desert Hot Springs, California",33.944,-116.368,6.425,1455229910688,,reviewed,1996-01-05 11:57:40.130000+00:00,False,,,
ci3248781,820956614570,2.75,"14km NNE of Barstow, California",35.02,-116.967,3.441,1455220037159,,reviewed,1996-01-06 19:30:14.570000+00:00,False,,,
ci3248836,821010766310,3.8,"42km WSW of Stovepipe Wells, California",36.471,-117.593,4.79,1455329714088,,reviewed,1996-01-07 10:32:46.310000+00:00,False,,,
